exp_id	exp_idx	timestamp	n_layer	n_embd	n_head	noise_steps	lr	bidirectional	batch_size	dropout	weight_decay	num_params_M	train_steps	train_seconds	total_seconds	final_train_loss	val_loss	nt_dist_error	gc_error	real_gc	gen_gc	peak_vram_mb	total_tokens_M
baseline_128steps	0	2026-04-15T05:06:19.287104	8	512	8	128	0.0001	True	8	0.0	0.01	44.6	270	301.1	427.8	8.1251	6.324552	0.250000	0.468961	0.4690	0.0000	8098	35.4
baseline_256steps	1	2026-04-15T05:13:24.162516	8	512	8	256	0.0001	True	8	0.0	0.01	44.6	266	300.2	424.8	5.9612	6.319520	0.250000	0.468961	0.4690	0.0000	8163	34.9
baseline_64steps	2	2026-04-15T05:20:30.080332	8	512	8	64	0.0001	True	8	0.0	0.01	44.6	266	300.0	425.8	8.1333	6.328230	0.250000	0.468961	0.4690	0.0000	8163	34.9
baseline_32steps	3	2026-04-15T05:27:36.481464	8	512	8	32	0.0001	True	8	0.0	0.01	44.6	265	300.1	426.3	7.8185	6.345723	0.250000	0.468961	0.4690	0.0000	8163	34.7
causal_attn	4	2026-04-15T05:34:01.604694	8	512	8	128	0.0001	False	8	0.0	0.01	44.6	329	300.2	385.0	7.4205	6.268157	0.250000	0.468961	0.4690	0.0000	8163	43.1
deeper_12L	5	2026-04-15T05:42:01.969800	12	512	8	128	0.0001	True	8	0.0	0.01	63.5	183	301.3	480.2	8.1605	6.705056	0.250000	0.468961	0.4690	0.0000	11519	24.0
wider_768	6	2026-04-15T05:58:28.589833	8	768	12	128	0.0001	True	4	0.0	0.01	95.6	163	301.6	493.3	6.9401	6.651534	0.250000	0.468961	0.4690	0.0000	6953	21.4
narrow_384	7	2026-04-15T06:04:55.746171	8	384	6	128	0.0001	True	16	0.0	0.01	26.3	382	300.2	387.0	7.3259	6.276966	0.250000	0.468961	0.4690	0.0000	11863	50.1
tiny_256	8	2026-04-15T06:10:42.657939	6	256	4	128	0.0001	True	16	0.0	0.01	10.4	833	300.1	346.8	4.6241	6.188580	0.250000	0.468961	0.4690	0.0000	11863	109.2
best_14L_512	25	2026-04-15T06:11:49.697026	14	512	8	128	0.0003	True	8	0.1	0.01	72.9	57	310.3	1289.5	8.2196	6.787983	0.250000	0.468961	0.4690	0.0000	13686	7.5
big_1024	9	2026-04-15T06:20:51.580731	10	1024	16	128	0.0001	True	2	0.0	0.01	203.5	90	303.3	608.8	2.6992	6.792623	0.250000	0.468979	0.4690	0.0000	11863	11.8
best_6L_768	26	2026-04-15T06:27:10.051845	6	768	12	128	0.0003	True	4	0.1	0.01	74.4	59	305.3	920.3	8.1286	6.525690	0.250000	0.468961	0.4690	0.0000	13686	7.7
lr_3e5	10	2026-04-15T06:27:48.531703	8	512	8	128	3e-05	True	8	0.0	0.01	44.6	285	300.9	416.8	8.0347	7.214900	0.250000	0.468961	0.4690	0.0000	11863	37.4
lr_3e4	11	2026-04-15T06:34:44.020489	8	512	8	128	0.0003	True	8	0.0	0.01	44.6	286	300.6	415.4	5.8531	6.253301	0.250000	0.468961	0.4690	0.0000	11863	37.5
lr_5e4	12	2026-04-15T06:41:39.975665	8	512	8	128	0.0005	True	8	0.0	0.01	44.6	285	300.1	415.8	6.6789	6.208671	0.250000	0.468961	0.4690	0.0000	11863	37.4
best_8L_768	27	2026-04-15T06:45:28.878322	8	768	12	128	0.0003	True	4	0.1	0.01	95.6	47	305.0	1098.7	7.0548	6.785617	0.250000	0.468961	0.4690	0.0000	13686	6.2
lr_1e4_wd0	13	2026-04-15T06:48:36.240185	8	512	8	128	0.0001	True	8	0.0	0.0	44.6	285	300.2	416.1	4.8849	6.302282	0.250000	0.468961	0.4690	0.0000	11863	37.4
lr_1e4_wd0.1	14	2026-04-15T06:55:31.685225	8	512	8	128	0.0001	True	8	0.0	0.1	44.6	285	300.3	415.3	8.0913	6.266875	0.250000	0.468961	0.4690	0.0000	11863	37.4
lr_1e4_drop0.1	15	2026-04-15T07:02:28.338572	8	512	8	128	0.0001	True	8	0.1	0.01	44.6	281	300.8	416.5	8.0012	6.285792	0.250000	0.468961	0.4690	0.0000	11863	36.8
best_8L_768_64s	28	2026-04-15T07:03:39.545964	8	768	12	64	0.0003	True	4	0.1	0.01	95.6	46	301.0	1090.5	7.6457	6.799802	0.250000	0.468961	0.4690	0.0000	13686	6.0
lr_1e4_drop0.2	16	2026-04-15T07:09:24.605680	8	512	8	128	0.0001	True	8	0.2	0.01	44.6	281	300.5	416.2	6.4519	6.289240	0.250000	0.468961	0.4690	0.0000	11863	36.8
lr_cosine_3e4	17	2026-04-15T07:16:20.486806	8	512	8	128	0.0003	True	8	0.0	0.01	44.6	285	300.6	415.8	8.1373	6.249021	0.250000	0.468961	0.4690	0.0000	11863	37.4
best_8L_768_256s	29	2026-04-15T07:22:09.499633	8	768	12	256	0.0003	True	4	0.1	0.01	95.6	47	306.7	1109.8	8.2921	6.799495	0.250000	0.468961	0.4690	0.0000	13686	6.2
batch16	18	2026-04-15T07:23:16.377257	8	512	8	128	0.0001	True	16	0.0	0.01	44.6	288	300.0	415.8	6.4069	6.287712	0.250000	0.468961	0.4690	0.0000	15229	37.7
batch4_accum	19	2026-04-15T07:30:12.877745	8	512	8	128	0.0001	True	4	0.0	0.01	44.6	269	300.4	416.4	8.0953	6.302484	0.250000	0.468961	0.4690	0.0000	15229	35.3
best_10L_640	20	2026-04-15T07:38:12.551891	10	640	10	128	0.0001	True	8	0.0	0.01	82.5	174	300.5	479.6	7.2201	6.780236	0.250000	0.468961	0.4690	0.0000	15229	22.8
best_10L_640_lr3e4	21	2026-04-15T07:46:13.302680	10	640	10	128	0.0003	True	8	0.0	0.01	82.5	174	301.0	480.6	8.0047	6.333286	0.250000	0.468961	0.4690	0.0000	15229	22.8
scale_12L_768	30	2026-04-15T07:47:39.826630	12	768	12	128	0.0003	True	4	0.1	0.01	138.1	33	300.6	1530.2	7.8769	7.031513	0.250000	0.468961	0.4690	0.0000	13686	4.3
best_10L_640_drop	22	2026-04-15T07:54:13.773021	10	640	10	128	0.0003	True	8	0.1	0.01	82.5	171	300.7	480.3	4.9640	6.238490	0.250000	0.468961	0.4690	0.0000	15229	22.4
best_10L_640_64s	23	2026-04-15T08:02:14.710919	10	640	10	64	0.0003	True	8	0.1	0.01	82.5	171	301.0	480.8	6.4080	6.585514	0.250000	0.468961	0.4690	0.0000	15229	22.4
best_10L_640_256s	24	2026-04-15T08:10:16.380078	10	640	10	256	0.0003	True	8	0.1	0.01	82.5	171	301.3	481.6	6.8827	6.295074	0.250000	0.468961	0.4690	0.0000	15229	22.4
scale_12L_768_d0	31	2026-04-15T08:13:16.623467	12	768	12	128	0.0003	True	4	0.0	0.01	138.1	34	307.2	1536.7	7.5162	6.909205	0.250000	0.468961	0.4690	0.0000	13686	4.5
scale_12L_768_1e4	32	2026-04-15T08:28:57.668768	12	768	12	128	0.0001	True	4	0.0	0.01	138.1	51	301.7	940.9	8.0183	7.438784	0.250000	0.468961	0.4690	0.0000	13686	6.7
scale_12L_768_64s	33	2026-04-15T08:45:09.863062	12	768	12	64	0.0001	True	4	0.0	0.01	138.1	55	304.5	972.1	7.1834	7.389757	0.250000	0.468961	0.4690	0.0000	13686	7.2
scale_16L_512	34	2026-04-15T08:59:29.798991	16	512	8	128	0.0001	True	8	0.0	0.01	82.4	69	301.8	859.8	8.0440	7.484903	0.250000	0.468961	0.4690	0.0000	14862	9.0
scale_10L_1024	35	2026-04-15T09:17:27.501886	10	1024	16	128	0.0001	True	2	0.0	0.01	203.5	42	301.0	1077.6	6.2130	7.385238	0.250000	0.468979	0.4690	0.0000	14862	5.5
