exp_id	exp_idx	timestamp	optimizer	lr	time_embed	attention_type	total_params_M	trainable_params_M	train_steps	training_seconds	total_seconds	final_train_loss	val_loss	peak_vram_mb	gb_acc_human_enhancers_cohn	gb_acc_human_enhancers_ensembl	gb_acc_human_ensembl_regulatory	gb_acc_human_nontata_promoters	gb_acc_human_ocr_ensembl	gb_acc_demo_coding_vs_intergenomic_seqs	gb_acc_demo_human_or_worm	gb_acc_dummy_mouse_enhancers_ensembl
nucel_frozen_probe	0	2026-04-16T06:52:12.403657	none	0	additive	standard	0.0	0.0	0	0.0	39.1	nan	nan	0	0.595000	0.570000	0.459596	nan	0.560000	0.755000	0.565000	0.500000
diffusion_baseline	1	2026-04-16T07:24:52.071891	adamw	0.0003	additive	standard	100.2	100.2	2249	1915.1	1959.7	1.609100	0.000055	6102	0.530000	0.515000	0.525253	nan	0.485000	0.665000	0.660000	0.500000
muon	2	2026-04-16T07:24:53.932332	muon	0.02	additive	standard	0.0	0.0	0.0	0.0	0.0	nan	nan	0	nan	nan	nan	nan	nan	nan	nan	nan
linear_attn_gla	6	2026-04-16T07:41:13.309697	adamw	0.0003	additive	gla	123.6	123.6	546	2789.7	2975.9	1.152797	0.026149	8818	0.485000	0.530000	0.348485	nan	0.595000	0.550000	0.520000	0.500000
adaln_dit	3	2026-04-16T07:57:00.605670	adamw	0.0003	adaln	standard	106.0	106.0	2173	1881.8	1926.6	1.291093	0.000034	6553	0.655000	0.610000	0.297980	nan	0.480000	0.700000	0.605000	0.600000
muon	2	2026-04-16T11:47:27.717859	muon	0.02	additive	standard	100.2	100.2	2505	1954.8	2073.0	1.227008	0.020905	5671	0.633000	0.661647	0.439439	nan	0.571000	0.743000	0.634000	0.675000
adaln_dit	3	2026-04-16T12:16:22.591259	adamw	0.0003	adaln	standard	106.0	106.0	2238	1623.7	1734.7	1.088978	0.000049	6329	0.617000	0.678715	0.483483	nan	0.564000	0.777000	0.654000	0.733333
linear_attn_mamba2	7	2026-04-16T12:55:16.503296	adamw	0.0003	additive	mamba2	136.6	136.6	1010	5404.8	6135.4	1.049180	0.023382	7800	0.636000	0.643574	0.511512	nan	0.578000	0.775000	0.684000	0.708333
linear_attn_performer	4	2026-04-16T13:09:50.674936	adamw	0.0003	additive	performer	123.3	123.3	2056	2974.7	3207.8	0.995495	0.013104	12587	0.639000	0.622490	0.536537	nan	0.545000	0.754000	0.652000	0.708333
linear_attn_retnet	5	2026-04-16T13:52:22.634528	adamw	0.0003	additive	retnet	146.4	146.4	2254	2392.6	2551.7	1.021979	0.096118	12587	0.549000	0.587349	0.466466	nan	0.535000	0.649000	0.596000	0.691667
hybrid_attn	8	2026-04-16T14:31:50.018901	adamw	0.0003	additive	hybrid_gla	116.1	116.1	1427	5402.1	5793.3	1.208643	0.017824	7800	0.654000	0.659639	0.513514	nan	0.533000	0.805000	0.715000	0.700000
muon_adaln	9	2026-04-16T14:46:15.427508	muon	0.02	adaln	standard	106.0	106.0	304	638.6	865.1	3.296875	0.000000	7800	0.501000	0.502008	0.345345	nan	0.501000	0.501000	0.501000	0.525000
muon_linear	10	2026-04-16T16:23:00.090085	muon	0.02	additive	gla	123.6	123.6	1806	5400.8	5804.4	1.103291	0.000072	8298	0.559000	0.624498	0.460460	nan	0.562000	0.576000	0.531000	0.658333
